	rppaMatch	rppaScore	illuMatch	illuScore
1	UMSCC17A	16	UMSCC 11A	11
2	UMSCC14A	16	UMSCC 14B; UMSCC 11A	11
3	UMSCC47	14	UMSCC 14B	8
4	PCI15A	11	HCC15	0
5	PCI13	9	C39; HCC1359; HCC1833	-1
6	UMSCC14B	16	UMSCC 14B	15
7	PCI15B	11	HCC15	0
8	SN2	5	OSC19 LN2	-1
9	JHU011	11	HCC4011	2
10	MDA1386	12	MDA 1386	11
11	UMSCC11A	16	UMSCC 11A	15
12	UMSCC22B	16	UMSCC 10B; UMSCC 14B	7
13	UMSCC22A	16	UMSCC 11A	7
14	HN30	8	HN30	8
15	JHU029	11	H290	1
16	UMSCC17B	16	UMSCC 10B; UMSCC 14B	11
17	OSC19	10	OSC19	10
18	UMSCC10B	16	UMSCC 10B	15
19	SN1	5	DM-14; OSC19	-1
20	TR146	10	TU167	2
21	OSC19LN3	15	OSC19 LN2	14
22	OSC19LN4	15	OSC19 LN2	14
23	OSC19LN5	15	OSC19 LN2	14
24	SQCCY1	12	SQCCY1	12
25	UMSCC4	12	UMSCC 14B	9
26	UMSCC2	12	UMSCC 10B; UMSCC 14B; UMSCC 11A	5
27	FADU	8	FADU	8
28	OSC19LN2	15	OSC19 LN2	18
29	JHU028	11	H2052; H2087; H2882; H2887	0
30	UMSCC1	12	UMSCC 10B; UMSCC 14B; UMSCC 11A	9
31	OSC19LN1	15	OSC19 LN2	14
32	SCC61	10	SQCCY1; HCC461	5
33	HN5	6	HN5	6
34	H23	6	H23	6
35	H1792	10	H1792	10
36	HCC4017	14	HCC4017	14
37	H157	8	H157	8
38	H2009	10	H2009	10
39	HCC78	10	HCC78	10
40	HOP62	8	H23	-2
41	HCC515	12	HCC515	12
42	HCC2935; HCC4006; HCC4011; HCC4017	6	HCC2450	14
43	H2347	10	H2347	10
44	H82	5	H820	8
45	H1171	8	HCC1171	14
46	H522	8	H322	4
47	C39; PCI-22B	1	C39	1
48	H1819	10	H1819	10
49	H322	8	H322	8
50	HCC193	12	HCC1195; HCC1359; HCC1833; HCC2935	7
51	H1693	10	H1693	10
52	H209; H226; H289; H322; H522	4	H290; H322	4
53	HCC827	12	HCC827	12
54	H226	8	H2126	7
55	Calu1	9	Calu.1	8
56	H358	8	H358	8
57	HCC33	8	HCC1833	14
58	HCC95	10	HCC95	10
59	H460	8	H460	8
60	H526	4	H596	8
61	H2122	10	H2122	10
62	H1993	10	H1993	10
63	A549	6	A549	6
64	EKVX	6	HBEC30KT; HBEC34KT	-6
65	H1299	10	H1299	10
66	H661	8	H661	8
67	DM12; DM14	0	DM-14	3
68	DM14; OSC19LN4; T406	-1	DM-14	-2
69	H322	4	H322; H324	4
70	CAL27; H2052; H2085; SCC25	0	H2052	0
71	H520; H522; H524; H526; KT53	0	H596	0
72	T406	1	TU686; TU167	0
73	S10; S38; SN1; SN2	-1	OSC19	-3
74	H460	4	H460	4
75	PCI3	0	DM-14	-5
76	SCC4; SCC9	-4	HCC5	-4
77	DBL; DLY; LBL; LLY	-7	DM-14; OSC19; LN686	-9
78	H23; PCI-22B	2	H23	2
79	C42	-1	A431; A549	-2
80	H847; T406; TUN7	0	TUN7; H647	0
81	HOP62	10	H23	0
82	HOP92	10	H1792	2
83	PCI13	1	A431	-2
84	SN1	4	OSC19	2
85	UMSCC2; UMSCC6	3	UMHSCC  16; HCC364; HCC366; HCC461; HCC827	-1
86	LKR13; OSC19; PCI13; TR146	-4	DM-14; OSC19	-4
87	A549	3	A549	3
88	PCI-22B	5	H322	0
89	H378	-1	TU686; LN686; H1781; HCC78	-2
90	MDA183	1	TMAR-B; MDA183	1
91	HCC4011	3	HCC1171; HCC1195; HCC4011	3
92	TU212	3	TU212	3
93	A431; HN31	0	A431	0
94	KA-24; KH-24	0	OSC19 LN2	-4
95	H157; H358; H378	2	H157; H358	2
96	S38; SN2	-1	TU686; LN686; H1648; H2087; H2106; H2126; H2882; H2887	-3
97	A549	4	A549	4
98	DM12	4	H125	0
99	UMSCC25	5	HCC827	2
100	S10	1	TU159; TU182; TU212; TU167; H1650; H1770; H2106	-1
101	DMS53	1	C39	-1
102	C82	-1	OSC19; HCC78	-3
103	PCI15A; PCI22A	-1	FADU	-3
104	KA-3	0	TMAR-B; MDA183	-2
105	MDA1483	4	MDA1483	4
106	C39	-1	C39	-1
107	S10; SN2	0	H290; H460; H820	-1
108	DM14	5	DM-14	4
109	PCI-22B	5	H2126	3
110	DM14	2	DM-14	5
111	HN4; HN5	1	HN5	1
112	H322M	6	H322	3
113	HCC15	6	HCC15	6
114	KA-3; KH-3	2	C39; H23	-5
115	A549; OSC19LN5	-2	A549; HCC5	-2
116	HCC2279; HCC2935	5	HCC2279; HCC2429; HCC2935	5
117	393P	1	C39	-2
118	A549	8	A549	8
119	PCI3	5	C39	2
120	MDA183	1	TMAR-B; MDA183	1
121	HN5; SN1; SN2	0	HN5	0
122	SCC25	1	HCC2935	-1
123	H209; H289	4	H290	4
124	H460	4	H460	4
125	UMSCC47	1	HCC78	-1
126	KA-0; KA-3; KA-G; KH-0; KH-3; KH-G; KT53; OSC19LN5	-3	HN5	-6
127	SN1; SN2	4	H125	-1
128	EKVX	8	HBEC30KT; HBEC34KT	-4
129	KA-24; KH-24	-1	OSC19 LN2; LN686; H2087; H2882; H2887	-5
