	x
1	344SQ
2	383B
3	393LN
4	393P
5	3KT
6	584
7	A431
8	A549
9	C39
10	C42
11	C82
12	CAL27
13	Calu1
14	Calu3
15	Calu6
16	DBL
17	DLY
18	DM12
19	DM14
20	DMS114
21	DMS153
22	DMS53
23	DMS79
24	EKVX
25	FADU
26	H1092
27	H1155
28	H1171
29	H1195
30	H1238
31	H128
32	H1299
33	H1355
34	H1373
35	h1395
36	H1395
37	H1417
38	H1437
39	H146
40	H1563
41	H1568
42	H157
43	H1618
44	H1648
45	H1650
46	H1651
47	H1666
48	H1672
49	H1693
50	H1694
51	H1703
52	H1734
53	H1770
54	h1781
55	H1781
56	H1792
57	H1793
58	H1819
59	H1836
60	H1865
61	H1869
62	H187
63	H1930
64	H1944
65	H1975
66	H1993
67	H2009
68	H2023
69	H2052
70	H2073
71	H2085
72	H2087
73	H209
74	H2107
75	H2122
76	H2126
77	H2141
78	H2170
79	H2171
80	H2172
81	H2227
82	H2228
83	H226
84	HCC2279
85	H23
86	H2347
87	H2444
88	H2882
89	H2887
90	H289
91	HCC2935
92	H3122
93	H322
94	H322M
95	H3255
96	H345
97	H358
98	H378
99	HCC4006
100	H441
101	H446
102	H460
103	H510A
104	H520
105	H522
106	H524
107	H526
108	H661
109	H69
110	H82
111	H82V2
112	H838
113	H841
114	H847
115	H889
116	HCC1359
117	HCC1395
118	HCC15
119	HCC193
120	HCC33
121	HCC366
122	HCC4011
123	HCC4017
124	HCC44
125	HCC461
126	HCC515
127	HCC78
128	HCC827
129	HCC95
130	HN30
131	HN31
132	HN4
133	HN5
134	HOP62
135	HOP92
136	HUVEC
137	JHU011
138	JHU012
139	JHU013
140	JHU019
141	JHU022
142	JHU028
143	JHU029
144	JMARB
145	KA-0
146	KA-24
147	KA-3
148	KA-G
149	KH-0
150	KH-24
151	KH-3
152	KH-G
153	KT53
154	KTC53begm
155	KTC53ksfm
156	KTR53
157	LBL
158	LKR13
159	LLY
160	LN212
161	LN686
162	LUNGBL6F3498
163	MDA1386
164	MDA1483
165	MDA183
166	MDA1986
167	MDACC1586
168	MKRas
169	MKRAS
170	MSK922
171	NHBE
172	NHLF
173	OSC19
174	OSC19LN1
175	OSC19LN2
176	OSC19LN3
177	OSC19LN4
178	OSC19LN5
179	PCI13
180	PCI15A
181	PCI15B
182	PCI22A
183	PCI22B
184	PCI-22B
185	PCI24
186	PCI3
187	PJ34
188	S10
189	S38
190	SCC15
191	SCC25
192	SCC4
193	SCC61
194	SCC9
195	SHP77
196	SN1
197	SN2
198	SQCCY1
199	T406
200	TR146
201	TU138
202	TU159
203	TU167
204	TU182
205	TU212
206	TU686
207	TUN7
208	UMSCC1
209	UMSCC10
210	UMSCC10A
211	UMSCC10B
212	UMSCC11A
213	UMSCC11B
214	UMSCC14A
215	UMSCC14B
216	UMSCC17A
217	UMSCC17B
218	UMSCC19
219	UMSCC2
220	UMSCC22A
221	UMSCC22B
222	UMSCC25
223	UMSCC4
224	UMSCC47
225	UMSCC6
226	H1650+EGF
227	H1650+EGF+DOCETAXEL
228	H1650+EGF+ERLOTINIB
229	H1650+EGF+ERLOTINIB+DOCETAXEL
230	H1650+EGF+PEMETREXED
231	H1975+EGF
232	H1975+EGF+DOCETAXEL
233	H1975+EGF+ERLOTINIB
234	H1975+EGF+ERLOTINIB+DOCETAXEL
235	H1975+EGF+PEMETREXED
236	H441+EGF
237	H441+EGF+docetaxel
238	H441+EGF+erlotinib
239	H441+EGF+erlotinib+docetaxel
240	H441+EGF+pemetrexed
241	HCC827+EGF
242	HCC827+EGF 
243	HCC827+EGF+docetaxel
244	HCC827+EGF+erlotinib
245	HCC827+EGF+erlotinib+docetaxel
246	HCC827+EGF+PEMETREXED
247	HN 1N
248	HN 1T
249	HN 2N
250	HN 2T
251	HN 3N 
252	HN 3T
253	HN 4N
254	HN 4T
255	HN 5N
256	HN 5T
257	HN 6T
258	HN 7T
259	HN 8T
260	HN 9T
